"Reception Date","Remittance Date","Reference Date","Module ID","Sender","Entity ID","Institution","IREF","Revision Number","Version Number","Acceptance Status","Validation Status","Last Version","Last Accepted","Sent To NCA","File Status"
"25-08-2021 08:02","25-08-2021","2021-06","COREP_LE_Con","GR2","M6AD1Y1KW32H8THQ6F76","Piraeus Financial Holdings","000003978","0","1","Accepted","Valid","No","No","Yes","PROCESSED"
"03-12-2021 16:02","25-08-2021","2021-06","COREP_LE_Con","GR2","M6AD1Y1KW32H8THQ6F76","Piraeus Financial Holdings","000003978","0","2","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"25-08-2021 08:02","25-08-2021","2021-06","COREP_LE_Con","GR2","JEUVK5RWVJEN8W0C9M24","Eurobank Ergasias Services and Holdings S.A.","000003981","0","1","Accepted","Valid","No","No","Yes","PROCESSED"
"16-11-2021 10:33","25-08-2021","2021-06","COREP_LE_Con","GR2","JEUVK5RWVJEN8W0C9M24","Eurobank Ergasias Services and Holdings S.A.","000003981","0","2","Not-Accepted","Error","No","No","Yes","PROCESSED"
"16-11-2021 17:08","25-08-2021","2021-06","COREP_LE_Con","GR2","JEUVK5RWVJEN8W0C9M24","Eurobank Ergasias Services and Holdings S.A.","000003981","0","3","Not-Accepted","Error","Yes","No","Yes","PROCESSED"
"03-12-2021 16:00","25-08-2021","2021-06","COREP_LE_Con","GR2","JEUVK5RWVJEN8W0C9M24","Eurobank Ergasias Services and Holdings S.A.","000003981","0","4","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:01","25-08-2021","2021-06","COREP_LE_Con","GR2","JEUVK5RWVJEN8W0C9M24","Eurobank Ergasias Services and Holdings S.A.","000003981","0","5","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:02","25-08-2021","2021-06","COREP_LE_Con","GR2","JEUVK5RWVJEN8W0C9M24","Eurobank Ergasias Services and Holdings S.A.","000003981","0","6","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"23-08-2021 13:14","15-09-2021","2021-06","COREP_OF_Con","SK2","52990096Q5LMCH1WU462","Československá obchodná banka, a.s.","005825","0","1","Not-Accepted","Error","No","No","Yes","PROCESSED"
"03-12-2021 16:02","15-09-2021","2021-06","COREP_OF_Con","SK2","52990096Q5LMCH1WU462","Československá obchodná banka, a.s.","005825","0","2","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"25-08-2021 10:33","25-08-2021","2021-06","COREP_LE_Con","LU2","549300IVXKQHV6O7PY61","RBC Investor Services Bank S.A.","007105","0","1","Accepted","Valid","No","No","Yes","PROCESSED"
"16-11-2021 11:09","25-08-2021","2021-06","COREP_LE_Con","LU2","549300IVXKQHV6O7PY61","RBC Investor Services Bank S.A.","007105","0","2","Not-Accepted","Error","No","No","Yes","PROCESSED"
"16-11-2021 17:08","25-08-2021","2021-06","COREP_LE_Con","LU2","549300IVXKQHV6O7PY61","RBC Investor Services Bank S.A.","007105","0","3","Not-Accepted","Error","Yes","No","Yes","PROCESSED"
"03-12-2021 16:00","25-08-2021","2021-06","COREP_LE_Con","LU2","549300IVXKQHV6O7PY61","RBC Investor Services Bank S.A.","007105","0","4","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:01","25-08-2021","2021-06","COREP_LE_Con","LU2","549300IVXKQHV6O7PY61","RBC Investor Services Bank S.A.","007105","0","5","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:02","25-08-2021","2021-06","COREP_LE_Con","LU2","549300IVXKQHV6O7PY61","RBC Investor Services Bank S.A.","007105","0","6","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"25-08-2021 10:35","25-08-2021","2021-06","COREP_LE_Con","LU2","TPS0Q8GFSZF45ZZFL873","Société Générale Luxembourg","007134","0","1","Accepted","Valid","No","No","Yes","PROCESSED"
"16-11-2021 11:09","25-08-2021","2021-06","COREP_LE_Con","LU2","TPS0Q8GFSZF45ZZFL873","Société Générale Luxembourg","007134","0","2","Not-Accepted","Error","No","No","Yes","PROCESSED"
"16-11-2021 17:08","25-08-2021","2021-06","COREP_LE_Con","LU2","TPS0Q8GFSZF45ZZFL873","Société Générale Luxembourg","007134","0","3","Not-Accepted","Error","Yes","No","Yes","PROCESSED"
"03-12-2021 16:00","25-08-2021","2021-06","COREP_LE_Con","LU2","TPS0Q8GFSZF45ZZFL873","Société Générale Luxembourg","007134","0","4","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:01","25-08-2021","2021-06","COREP_LE_Con","LU2","TPS0Q8GFSZF45ZZFL873","Société Générale Luxembourg","007134","0","5","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:02","25-08-2021","2021-06","COREP_LE_Con","LU2","TPS0Q8GFSZF45ZZFL873","Société Générale Luxembourg","007134","0","6","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"13-09-2021 08:43","25-08-2021","2021-06","COREP_LE_Con","LU2","549300IVXKQHV6O7PY61","RBC Investor Services Bank S.A.","007391","1","1","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"13-09-2021 15:28","25-08-2021","2021-06","COREP_LE_Con","LU2","549300IVXKQHV6O7PY61","RBC Investor Services Bank S.A.","007391","1","2","Accepted","Valid","No","No","Yes","PROCESSED"
"16-11-2021 10:33","25-08-2021","2021-06","COREP_LE_Con","LU2","549300IVXKQHV6O7PY61","RBC Investor Services Bank S.A.","007391","1","3","Not-Accepted","Error","No","No","Yes","PROCESSED"
"03-12-2021 16:01","25-08-2021","2021-06","COREP_LE_Con","LU2","549300IVXKQHV6O7PY61","RBC Investor Services Bank S.A.","007391","1","4","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:01","25-08-2021","2021-06","COREP_LE_Con","LU2","549300IVXKQHV6O7PY61","RBC Investor Services Bank S.A.","007391","1","5","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:02","25-08-2021","2021-06","COREP_LE_Con","LU2","549300IVXKQHV6O7PY61","RBC Investor Services Bank S.A.","007391","1","6","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"17-09-2021 07:44","25-08-2021","2021-06","COREP_LE_Ind","LU2","R7CQUF1DQM73HUTV1078","Banque et Caisse d´Epargne de l´Etat, Luxembourg","007868","1","1","Accepted","Valid","No","No","Yes","PROCESSED"
"03-12-2021 16:01","25-08-2021","2021-06","COREP_LE_Ind","LU2","R7CQUF1DQM73HUTV1078","Banque et Caisse d´Epargne de l´Etat, Luxembourg","007868","1","2","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"27-09-2021 07:40","15-09-2021","2021-06","COREP_OF_Ind","LU2","UAIAINAJ28P30E5GWE37","BGL BNP Paribas","008020","1","1","Not-Accepted","Warning","No","No","Yes","PROCESSED"
"30-09-2021 15:58","15-09-2021","2021-06","COREP_OF_Ind","LU2","UAIAINAJ28P30E5GWE37","BGL BNP Paribas","008020","1","2","Accepted","Warning","No","No","Yes","PROCESSED"
"30-09-2021 15:58","15-09-2021","2021-06","COREP_OF_Ind","LU2","UAIAINAJ28P30E5GWE37","BGL BNP Paribas","008020","1","3","Accepted","Warning","Yes","Yes","Yes","PROCESSED"
"03-12-2021 16:01","15-09-2021","2021-06","COREP_OF_Ind","LU2","UAIAINAJ28P30E5GWE37","BGL BNP Paribas","008020","1","4","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:01","15-09-2021","2021-06","COREP_OF_Ind","LU2","UAIAINAJ28P30E5GWE37","BGL BNP Paribas","008020","1","5","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:01","15-09-2021","2021-06","COREP_OF_Ind","LU2","UAIAINAJ28P30E5GWE37","BGL BNP Paribas","008020","1","6","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"17-08-2021 10:42","25-08-2021","2021-06","COREP_LE_Con","NL2","BFXS5XCH7N0Y05NIXW11","ABN AMRO Bank N.V.","018610","0","1","Accepted","Valid","No","No","Yes","PROCESSED"
"19-08-2021 08:49","02-09-2021","2021-06","COREP_LCR_DA_Ind","BE2","549300U1YXDFKMDU7D20","AION BANK","018610","0","1","Accepted","Valid","No","No","Yes","PROCESSED"
"03-12-2021 16:02","02-09-2021","2021-06","COREP_LCR_DA_Ind","BE2","549300U1YXDFKMDU7D20","AION BANK","018610","0","2","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:03","25-08-2021","2021-06","COREP_LE_Con","NL2","BFXS5XCH7N0Y05NIXW11","ABN AMRO Bank N.V.","018610","0","2","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"25-08-2021 12:53","15-09-2021","2021-06","COREP_OF_Ind","NL2","3TK20IVIUJ8J3ZU0QE75","ING Bank N.V.","018820","1","1","Not-Accepted","Error","No","No","Yes","PROCESSED"
"08-09-2021 15:33","15-09-2021","2021-06","COREP_OF_Ind","NL2","3TK20IVIUJ8J3ZU0QE75","ING Bank N.V.","018820","1","2","Not-Accepted","Warning","No","No","Yes","PROCESSED"
"13-09-2021 09:39","15-09-2021","2021-06","COREP_LE_Con","BE2","529900GQWNQZIWLG8D46","BEOBANK NV/SA","018820","0","1","Accepted","Valid","Yes","Yes","Yes","PROCESSED"
"17-09-2021 11:57","15-09-2021","2021-06","COREP_OF_Ind","NL2","3TK20IVIUJ8J3ZU0QE75","ING Bank N.V.","018820","1","3","Not-Accepted","Warning","No","No","Yes","PROCESSED"
"29-09-2021 23:47","15-09-2021","2021-06","COREP_OF_Ind","NL2","3TK20IVIUJ8J3ZU0QE75","ING Bank N.V.","018820","1","4","Not-Accepted","Warning","No","No","Yes","PROCESSED"
"29-09-2021 23:59","15-09-2021","2021-06","COREP_OF_Ind","NL2","3TK20IVIUJ8J3ZU0QE75","ING Bank N.V.","018820","1","5","Not-Accepted","Warning","No","No","Yes","PROCESSED"
"30-09-2021 00:30","15-09-2021","2021-06","COREP_OF_Ind","NL2","3TK20IVIUJ8J3ZU0QE75","ING Bank N.V.","018820","1","6","Not-Accepted","Warning","No","No","Yes","PROCESSED"
"30-09-2021 00:49","15-09-2021","2021-06","COREP_OF_Ind","NL2","3TK20IVIUJ8J3ZU0QE75","ING Bank N.V.","018820","1","7","Not-Accepted","Warning","No","No","Yes","PROCESSED"
"30-09-2021 00:56","15-09-2021","2021-06","COREP_OF_Ind","NL2","3TK20IVIUJ8J3ZU0QE75","ING Bank N.V.","018820","1","8","Not-Accepted","Warning","No","No","Yes","PROCESSED"
"30-09-2021 01:00","15-09-2021","2021-06","COREP_OF_Ind","NL2","3TK20IVIUJ8J3ZU0QE75","ING Bank N.V.","018820","1","9","Not-Accepted","Warning","No","No","Yes","PROCESSED"
"03-12-2021 16:01","15-09-2021","2021-06","COREP_OF_Ind","NL2","3TK20IVIUJ8J3ZU0QE75","ING Bank N.V.","018820","1","10","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:01","15-09-2021","2021-06","COREP_OF_Ind","NL2","3TK20IVIUJ8J3ZU0QE75","ING Bank N.V.","018820","1","11","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:01","15-09-2021","2021-06","COREP_OF_Ind","NL2","3TK20IVIUJ8J3ZU0QE75","ING Bank N.V.","018820","1","12","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:01","15-09-2021","2021-06","COREP_OF_Ind","NL2","3TK20IVIUJ8J3ZU0QE75","ING Bank N.V.","018820","1","13","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:01","15-09-2021","2021-06","COREP_OF_Ind","NL2","3TK20IVIUJ8J3ZU0QE75","ING Bank N.V.","018820","1","14","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:01","15-09-2021","2021-06","COREP_OF_Ind","NL2","3TK20IVIUJ8J3ZU0QE75","ING Bank N.V.","018820","1","15","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:01","15-09-2021","2021-06","COREP_OF_Ind","NL2","3TK20IVIUJ8J3ZU0QE75","ING Bank N.V.","018820","1","16","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:02","15-09-2021","2021-06","COREP_LE_Con","BE2","529900GQWNQZIWLG8D46","BEOBANK NV/SA","018820","0","2","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:02","15-09-2021","2021-06","COREP_OF_Ind","NL2","3TK20IVIUJ8J3ZU0QE75","ING Bank N.V.","018820","1","17","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:02","15-09-2021","2021-06","COREP_OF_Ind","NL2","3TK20IVIUJ8J3ZU0QE75","ING Bank N.V.","018820","1","18","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"13-08-2021 12:14","25-08-2021","2021-06","COREP_LE_Ind","IE2","2G5BKIC2CB69PRJH1W31","Barclays Bank Ireland plc","024737","0","1","Not-Accepted","Error","No","No","Yes","PROCESSED"
"17-08-2021 11:05","25-08-2021","2021-06","COREP_LE_Ind","IE2","2G5BKIC2CB69PRJH1W31","Barclays Bank Ireland plc","024737","0","2","Accepted","Valid","Yes","Yes","Yes","PROCESSED"
"03-12-2021 16:03","25-08-2021","2021-06","COREP_LE_Ind","IE2","2G5BKIC2CB69PRJH1W31","Barclays Bank Ireland plc","024737","0","3","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:03","25-08-2021","2021-06","COREP_LE_Ind","IE2","2G5BKIC2CB69PRJH1W31","Barclays Bank Ireland plc","024737","0","4","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"23-08-2021 17:00","25-08-2021","2021-06","COREP_LE_Con","IE2","635400C8EK6DRI12LJ39","Bank of Ireland Group plc","024957","2","1","Accepted","Valid","No","Yes","Yes","PROCESSED"
"16-11-2021 09:49","25-08-2021","2021-06","COREP_LE_Con","IE2","635400C8EK6DRI12LJ39","Bank of Ireland Group plc","024957","2","2","Not-Accepted","Error","No","No","Yes","PROCESSED"
"16-11-2021 11:09","25-08-2021","2021-06","COREP_LE_Con","IE2","635400C8EK6DRI12LJ39","Bank of Ireland Group plc","024957","2","3","Not-Accepted","Error","No","No","Yes","PROCESSED"
"16-11-2021 11:09","25-08-2021","2021-06","COREP_LE_Con","IE2","635400C8EK6DRI12LJ39","Bank of Ireland Group plc","024957","2","4","Not-Accepted","Error","No","No","Yes","PROCESSED"
"16-11-2021 12:31","25-08-2021","2021-06","COREP_LE_Con","IE2","635400C8EK6DRI12LJ39","Bank of Ireland Group plc","024957","2","5","Not-Accepted","Error","No","No","Yes","PROCESSED"
"16-11-2021 17:08","25-08-2021","2021-06","COREP_LE_Con","IE2","635400C8EK6DRI12LJ39","Bank of Ireland Group plc","024957","2","6","Not-Accepted","Error","Yes","No","Yes","PROCESSED"
"03-12-2021 16:00","25-08-2021","2021-06","COREP_LE_Con","IE2","635400C8EK6DRI12LJ39","Bank of Ireland Group plc","024957","2","7","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:00","25-08-2021","2021-06","COREP_LE_Con","IE2","635400C8EK6DRI12LJ39","Bank of Ireland Group plc","024957","2","8","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:01","25-08-2021","2021-06","COREP_LE_Con","IE2","635400C8EK6DRI12LJ39","Bank of Ireland Group plc","024957","2","9","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:01","25-08-2021","2021-06","COREP_LE_Con","IE2","635400C8EK6DRI12LJ39","Bank of Ireland Group plc","024957","2","10","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:01","25-08-2021","2021-06","COREP_LE_Con","IE2","635400C8EK6DRI12LJ39","Bank of Ireland Group plc","024957","2","11","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:02","25-08-2021","2021-06","COREP_LE_Con","IE2","635400C8EK6DRI12LJ39","Bank of Ireland Group plc","024957","2","12","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"02-09-2021 17:39","15-09-2021","2021-06","COREP_LE_Ind","IE2","96QM9M0BWQYBMDQH8L02","KBC Bank Ireland plc","025375","0","1","Accepted","Valid","No","No","Yes","PROCESSED"
"03-12-2021 16:02","15-09-2021","2021-06","COREP_LE_Ind","IE2","96QM9M0BWQYBMDQH8L02","KBC Bank Ireland plc","025375","0","2","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"07-08-2021 03:37","25-08-2021","2021-06","COREP_OF_Con","FR2","96950001WI712W7PQG45","RCI Banque","122020","0","1","Not-Accepted","Error","No","No","Yes","PROCESSED"
"08-09-2021 15:21","25-08-2021","2021-06","COREP_OF_Con","FR2","96950001WI712W7PQG45","RCI Banque","122020","0","2","Not-Accepted","Warning","No","No","Yes","PROCESSED"
"16-11-2021 10:15","25-08-2021","2021-06","COREP_OF_Con","FR2","96950001WI712W7PQG45","RCI Banque","122020","0","3","Not-Accepted","Error","No","No","Yes","PROCESSED"
"16-11-2021 17:08","25-08-2021","2021-06","COREP_OF_Con","FR2","96950001WI712W7PQG45","RCI Banque","122020","0","4","Not-Accepted","Error","No","No","Yes","PROCESSED"
"26-11-2021 14:23","25-08-2021","2021-06","COREP_OF_Con","FR2","96950001WI712W7PQG45","RCI Banque","122020","0","5","Not-Accepted","Error","Yes","No","Yes","PROCESSED"
"03-12-2021 16:00","25-08-2021","2021-06","COREP_OF_Con","FR2","96950001WI712W7PQG45","RCI Banque","122020","0","6","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:00","25-08-2021","2021-06","COREP_OF_Con","FR2","96950001WI712W7PQG45","RCI Banque","122020","0","7","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:01","25-08-2021","2021-06","COREP_OF_Con","FR2","96950001WI712W7PQG45","RCI Banque","122020","0","8","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:02","25-08-2021","2021-06","COREP_OF_Con","FR2","96950001WI712W7PQG45","RCI Banque","122020","0","9","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:03","25-08-2021","2021-06","COREP_OF_Con","FR2","96950001WI712W7PQG45","RCI Banque","122020","0","10","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"11-08-2021 03:59","25-08-2021","2021-06","COREP_LE_Con","FR2","969500STN7T9MRUMJ267","Bpifrance","122600","0","1","Accepted","Valid","No","No","Yes","PROCESSED"
"16-11-2021 10:33","25-08-2021","2021-06","COREP_LE_Con","FR2","969500STN7T9MRUMJ267","Bpifrance","122600","0","2","Not-Accepted","Error","No","No","Yes","PROCESSED"
"16-11-2021 17:08","25-08-2021","2021-06","COREP_LE_Con","FR2","969500STN7T9MRUMJ267","Bpifrance","122600","0","3","Not-Accepted","Error","Yes","No","Yes","PROCESSED"
"03-12-2021 16:00","25-08-2021","2021-06","COREP_LE_Con","FR2","969500STN7T9MRUMJ267","Bpifrance","122600","0","4","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:01","25-08-2021","2021-06","COREP_LE_Con","FR2","969500STN7T9MRUMJ267","Bpifrance","122600","0","5","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:03","25-08-2021","2021-06","COREP_LE_Con","FR2","969500STN7T9MRUMJ267","Bpifrance","122600","0","6","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"11-08-2021 04:06","25-08-2021","2021-06","COREP_LE_Con","FR2","O2RNE8IBXP4R0TD8PU41","Société générale","122637","0","1","Accepted","Valid","No","No","Yes","PROCESSED"
"16-11-2021 11:09","25-08-2021","2021-06","COREP_LE_Con","FR2","O2RNE8IBXP4R0TD8PU41","Société générale","122637","0","2","Not-Accepted","Error","No","No","Yes","PROCESSED"
"16-11-2021 17:08","25-08-2021","2021-06","COREP_LE_Con","FR2","O2RNE8IBXP4R0TD8PU41","Société générale","122637","0","3","Not-Accepted","Error","Yes","No","Yes","PROCESSED"
"03-12-2021 16:00","25-08-2021","2021-06","COREP_LE_Con","FR2","O2RNE8IBXP4R0TD8PU41","Société générale","122637","0","4","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:00","25-08-2021","2021-06","COREP_LE_Con","FR2","O2RNE8IBXP4R0TD8PU41","Société générale","122637","0","5","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"03-12-2021 16:03","25-08-2021","2021-06","COREP_LE_Con","FR2","O2RNE8IBXP4R0TD8PU41","Société générale","122637","0","6","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"17-08-2021 03:37","25-08-2021","2021-06","COREP_LE_Con","FR2","9695000CG7B84NLR5984","Confédération Nationale du Crédit Mutuel","123322","2","1","Accepted","Valid","No","No","Yes","PROCESSED"
"03-12-2021 16:03","25-08-2021","2021-06","COREP_LE_Con","FR2","9695000CG7B84NLR5984","Confédération Nationale du Crédit Mutuel","123322","2","2","Rejected","Fatal","No","No","Yes","FATAL ERROR"
"17-08-2021 03:38","15-09-2021","2021-06","COREP_LE_Con","FR2","969500LFTDNMONT2EP08","Caisse fédérale de crédit mutuel","123326","1","1","Accepted","Valid","No","No","Yes","PROCESSED"
"03-12-2021 16:03","15-09-2021","2021-06","COREP_LE_Con","FR2","969500LFTDNMONT2EP08","Caisse fédérale de crédit mutuel","123326","1","2","Rejected","Fatal","No","No","Yes","FATAL ERROR"
